,Reader,RFID,Time,Date,Timestamp,num,Day,Adjust,Adjust_num,Good_num
176,R30,2.50E+25,9:53:25,1:01:00,00-01-01 9:53,946720405,2,17-11-18 17:04,1511024640,2457745045
177,R30,2.50E+25,9:53:28,1:01:00,00-01-01 9:53,946720408,2,17-11-18 17:04,1511024640,2457745048
178,R30,2.50E+25,9:53:28,1:01:00,00-01-01 9:53,946720408,2,17-11-18 17:04,1511024640,2457745048
179,R30,2.50E+25,9:53:29,1:01:00,00-01-01 9:53,946720409,2,17-11-18 17:04,1511024640,2457745049
180,R30,2.50E+25,9:53:29,1:01:00,00-01-01 9:53,946720409,2,17-11-18 17:04,1511024640,2457745049
181,R30,2.50E+25,9:53:29,1:01:00,00-01-01 9:53,946720409,2,17-11-18 17:04,1511024640,2457745049
182,R30,2.50E+25,9:53:30,1:01:00,00-01-01 9:53,946720410,2,17-11-18 17:04,1511024640,2457745050
183,R30,2.50E+25,9:53:30,1:01:00,00-01-01 9:53,946720410,2,17-11-18 17:04,1511024640,2457745050
184,R30,2.50E+25,9:53:31,1:01:00,00-01-01 9:53,946720411,2,17-11-18 17:04,1511024640,2457745051
185,R30,2.50E+25,10:06:09,1:01:00,00-01-01 10:06,946721169,2,17-11-18 17:04,1511024640,2457745809
186,R30,2.50E+25,12:34:57,1:01:00,00-01-01 12:34,946730097,2,17-11-18 17:04,1511024640,2457754737
187,R30,2.50E+25,12:34:59,1:01:00,00-01-01 12:34,946730099,2,17-11-18 17:04,1511024640,2457754739
188,R30,2.50E+25,12:35:48,1:01:00,00-01-01 12:35,946730148,2,17-11-18 17:04,1511024640,2457754788
189,R30,2.50E+25,12:35:49,1:01:00,00-01-01 12:35,946730149,2,17-11-18 17:04,1511024640,2457754789
190,R30,2.50E+25,12:35:49,1:01:00,00-01-01 12:35,946730149,2,17-11-18 17:04,1511024640,2457754789
191,R30,2.50E+25,12:35:49,1:01:00,00-01-01 12:35,946730149,2,17-11-18 17:04,1511024640,2457754789
192,R30,2.50E+25,12:35:50,1:01:00,00-01-01 12:35,946730150,2,17-11-18 17:04,1511024640,2457754790
