Date,Trap,ID,Recap,RFID,Sex,Age,Scrot,Preg,TL,TV,WT,Type,AccTrap
17-11-14,C49,114,RECAP,849483,M,Adult,NA,NA,122,49,NA,G,NA
17-11-16,C49,114,RECAP,849483,M,Adult,NA,NA,122,49,11,G,NA
17-11-13,C41,117,new,250523,M,Juvenile,no,NA,122,47,10,G,NA
17-11-16,C46,117,RECAP,250523,M,Adult,NA,NA,122,47,10,G,NA
17-11-17,D46,117,RECAP,250523,M,Adult,no,NA,122,47,11,G,NA
17-11-14,H17,118,new,650563,M,Juvenile,no,NA,112,43,9,G,NA
17-11-14,G42,119,new,351533,M,Adult,no,NA,119,40,12,G,NA
17-11-15,G42,119,RECAP,351533,M,Adult,no,NA,119,40,10,G,NA
17-11-16,B42,119,RECAP,351533,M,Adult,no,NA,119,40,9,G,NA
17-11-15,F63,120,new,755563,M,Adult,yes,NA,121,45,13,G,NA
17-11-16,G51,120,RECAP,755563,M,Adult,yes,NA,121,45,12,G,NA
17-11-17,F63,120,RECAP,755563,M,Adult,yes,NA,121,45,14,G,NA
17-11-18,B60,120,RECAP,755563,M,Adult,yes,NA,121,45,11,G,NA
17-11-16,H70,125,new,751573,M,Juvenile,no,NA,116,45,10,G,NA
17-11-17,H70,126,new,255533,M,Adult,yes,NA,130,50,14,G,NA
17-11-04,A3,94,new,654563,F,Adult,NA,no,122,49,15.2,G,NA
17-11-05,A3,96,new,155513,F,Adult,NA,yes,126,49,15,G,NA
17-11-08,A2,96,RECAP,155513,F,Adult,NA,yes,126,49,19,G,NA
17-11-05,A21,97,new,853483,F,Adult,NA,no,123,47,11.5,G,NA
17-11-10,A60,105,new,355533,F,Adult,NA,no,131,48,14,G,NA
17-11-15,A17,115,RECAP,550553,F,Adult,NA,no,124,46,12,G,NA
17-11-06,A3,93,RECAP,554553,M,Adult,NA,NA,118,42,11,G,NA
17-11-11,A65,111,new,750573,M,Subadult,no,NA,119,45,10,G,NA
17-11-16,A65,111,RECAP,750573,M,Subadult,NA,NA,119,45,11,G,NA
17-11-14,A31,113,RECAP,551533,M,Juvenile,no,NA,112,40,11,G,NA
