"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"243","110","93","110.93",0,"M","M","MM",5400
"244","110","94","110.94",0,"M","F","MF",5400
"245","110","95","110.95",0,"M","F","MF",5400
"246","110","96","110.96",0,"M","F","MF",5400
"247","110","97","110.97",0,"M","F","MF",5400
"248","110","uk2","110.uk2",0,"M","U",NA,5400
"249","111","103","111.103",0,"M","F","MF",5400
"250","111","104","111.104",0.00336021505376344,"M","M","MM",5400
"251","111","105","111.105",0.000672043010752688,"M","F","MF",5400
"252","111","106","111.106",0,"M","M","MM",5400
"253","111","107","111.107",0,"M","F","MF",5400
"254","111","108","111.108",0,"M","M","MM",5400
"255","111","109","111.109",0.000672043010752688,"M","M","MM",5400
"256","111","110","111.110",0,"M","M","MM",5400
"257","111","112","111.112",0,"M","F","MF",5400
"258","111","113","111.113",0,"M","M","MM",5400
"259","111","114","111.114",0,"M","M","MM",5400
"260","111","115","111.115",0,"M","F","MF",5400
"261","111","116","111.116",0,"M","M","MM",5400
"262","111","118","111.118",0,"M","M","MM",5400
"263","111","119","111.119",0,"M","M","MM",5400
"264","111","120","111.120",0,"M","M","MM",5400
"265","111","121","111.121",0,"M","M","MM",5400
"266","111","122","111.122",0,"M","F","MF",5400
"267","111","123","111.123",0,"M","F","MF",5400
"268","111","124","111.124",0.00537634408602151,"M","F","MF",5400
"269","111","125","111.125",0.00940860215053763,"M","M","MM",5400
"270","111","126","111.126",0,"M","M","MM",5400
"271","111","127","111.127",0,"M","F","MF",5400
"272","111","129","111.129",0,"M","M","MM",5400
"273","111","92","111.92",0,"M","M","MM",5400
"274","111","93","111.93",0,"M","M","MM",5400
"275","111","94","111.94",0,"M","F","MF",5400
"276","111","95","111.95",0,"M","F","MF",5400
"277","111","96","111.96",0,"M","F","MF",5400
"278","111","97","111.97",0,"M","F","MF",5400
"279","111","uk2","111.uk2",0,"M","U",NA,5400
"280","112","103","112.103",0,"F","F","FF",5400
"281","112","104","112.104",0,"F","M","MF",5400
"282","112","105","112.105",0,"F","F","FF",5400
"283","112","106","112.106",0,"F","M","MF",5400
"284","112","107","112.107",0,"F","F","FF",5400
