INDV1,INDV2,N_AaAa,N_AAaa,N1_Aa,N2_Aa,RELATEDNESS_PHI
S0004,S0110,15,3,31,49,0.1125
S0004,S0111,14,5,31,42,0.0547945
S0004,S0112,19,5,31,49,0.1125
S0004,S0113,11,13,31,32,-0.238095
S0004,S0114,17,10,31,40,-0.0422535
S0004,S0116,9,11,31,28,-0.220339
S0004,S0117,9,14,31,29,-0.316667
S0004,S0121,21,0,31,68,0.212121
S0004,S0123,18,6,31,43,0.0810811
S0004,S0124,9,6,31,47,-0.0384615
S0004,S0125,13,12,31,25,-0.196429
S0004,S0126,12,6,31,34,0
S0004,S0127,10,11,31,32,-0.190476
S0004,S0128,12,8,31,37,-0.0588235
S0004,S0129,17,11,31,35,-0.0757576
S0004,S0134,15,6,31,47,0.0384615
S0004,S0135,20,12,31,36,-0.0597015
S0004,S0136,12,15,31,28,-0.305085
S0004,S0137,16,9,31,38,-0.0289855
S0004,S0138,16,9,31,36,-0.0298507
S0004,S0139,13,16,31,37,-0.279412
S0004,S0141,10,10,31,35,-0.151515
S0004,S0146,15,7,31,45,0.0131579
S0004,S0147,15,14,31,32,-0.206349
S0004,S0148,18,11,31,40,-0.056338
S0004,S0150,13,11,31,31,-0.145161
S0004,S0151,13,6,31,40,0.0140845
S0004,S0152,8,13,31,27,-0.310345
S0004,S0153,13,11,31,37,-0.132353
S0004,S0157,10,7,31,34,-0.0615385
S0004,S0158,15,8,31,35,-0.0151515
S0004,S0159,15,11,31,35,-0.106061
S0004,S0161,13,8,31,35,-0.0454545
S0004,S0162,10,13,31,34,-0.246154
S0004,S0163,15,9,31,38,-0.0434783
S0004,S0164,16,8,31,40,0
S0004,S0165,11,6,31,39,-0.0142857
S0004,S0169,10,12,31,35,-0.212121
S0004,S0170,11,8,31,34,-0.0769231
S0004,S0171,19,1,31,59,0.188889
S0004,S0172,16,7,31,45,0.0263158
S0004,S0173,15,8,31,43,-0.0135135
S0004,S0174,18,8,31,43,0.027027
S0004,S0175,10,8,31,26,-0.105263
S0004,S0176,15,6,31,46,0.038961
S0004,S0177,9,15,31,33,-0.328125
S0004,S0181,9,10,31,32,-0.174603
S0004,S0182,18,9,31,41,0
S0004,S0183,12,15,31,46,-0.233766
S0004,S0184,13,6,31,44,0.0133333
S0004,S0185,12,14,31,25,-0.285714
S0004,S0186,11,5,31,37,0.0147059
S0004,S0187,11,9,31,31,-0.112903
S0004,S0188,10,6,31,30,-0.0327869
S0004,S0189,14,9,31,40,-0.056338
S0005,S0001,18,4,44,34,0.128205
S0005,S0002,32,1,44,70,0.263158
S0005,S0004,17,13,44,31,-0.12
S0005,S0005,44,0,44,44,0.5
S0005,S0006,25,7,44,43,0.126437
S0005,S0007,17,6,44,30,0.0675676
S0005,S0008,19,9,44,38,0.0121951
S0005,S0009,14,10,44,28,-0.0833333
S0005,S0015,30,6,44,56,0.18
S0005,S0016,21,9,44,40,0.0357143
S0005,S0017,19,7,44,40,0.0595238
S0005,S0018,29,3,44,57,0.227723
S0005,S0019,25,6,44,38,0.158537
S0005,S0020,25,5,44,38,0.182927
S0005,S0021,14,7,44,33,0
S0005,S0025,22,5,44,44,0.136364
S0005,S0026,13,7,44,33,-0.012987
S0005,S0027,19,9,44,37,0.0123457
S0005,S0028,19,6,44,40,0.0833333
S0005,S0029,22,9,44,32,0.0526316
S0005,S0030,18,5,44,31,0.106667
S0005,S0031,12,4,44,34,0.0512821
S0005,S0032,20,9,44,43,0.0229885
S0005,S0033,17,6,44,38,0.0609756
S0005,S0037,22,7,44,45,0.0898876
S0005,S0038,16,2,44,32,0.157895
S0005,S0039,16,10,44,34,-0.0512821
S0005,S0040,24,12,44,36,0
S0005,S0041,20,1,44,45,0.202247
S0005,S0042,24,12,44,40,0
S0005,S0043,25,7,44,51,0.115789
S0005,S0044,18,3,44,33,0.155844
S0005,S0045,18,5,44,38,0.097561
S0005,S0051,14,6,44,24,0.0294118
S0005,S0052,18,7,44,36,0.05
S0005,S0053,17,12,44,27,-0.0985915
S0005,S0054,25,2,44,50,0.223404
S0005,S0055,20,2,44,35,0.202532
S0005,S0056,17,13,44,28,-0.125
S0005,S0057,21,14,44,33,-0.0909091
S0005,S0062,20,6,44,38,0.097561
S0005,S0063,16,6,44,38,0.0487805
S0005,S0065,21,7,44,36,0.0875
S0005,S0066,27,8,44,44,0.125
S0005,S0068,31,11,44,44,0.102273
S0005,S0069,23,12,44,36,-0.0125
S0005,S0073,23,6,44,38,0.134146
S0005,S0074,15,13,44,29,-0.150685
S0005,S0075,23,6,44,40,0.130952
S0005,S0076,16,8,44,31,0
S0005,S0077,13,14,44,26,-0.214286
S0005,S0078,24,5,44,45,0.157303
S0005,S0079,24,11,44,38,0.0243902
S0005,S0080,26,7,44,41,0.141176
S0005,S0081,21,10,44,45,0.011236
S0005,S0085,14,7,44,32,0
S0005,S0087,22,7,44,35,0.101266
S0005,S0088,19,11,44,29,-0.0410959
S0005,S0089,29,8,44,48,0.141304
S0005,S0090,17,9,44,35,-0.0126582
S0005,S0091,23,4,44,39,0.180723
S0005,S0092,20,11,44,35,-0.0253165
S0005,S0093,26,11,44,40,0.047619
S0005,S0099,15,5,44,35,0.0632911
S0005,S0101,23,8,44,39,0.0843373
S0005,S0102,22,8,44,37,0.0740741
S0005,S0103,20,6,44,38,0.097561
S0005,S0104,19,5,44,35,0.113924
S0005,S0105,23,3,44,45,0.191011
S0005,S0110,22,2,44,49,0.193548
S0005,S0111,21,7,44,42,0.0813953
S0005,S0112,24,3,44,49,0.193548
S0005,S0113,22,5,44,32,0.157895
S0005,S0114,18,8,44,40,0.0238095
S0005,S0116,17,14,44,28,-0.152778
S0005,S0117,15,6,44,29,0.0410959
S0005,S0121,34,3,44,68,0.25
S0005,S0123,18,8,44,43,0.0229885
S0005,S0124,25,8,44,47,0.0989011
S0005,S0125,12,12,44,25,-0.173913
S0005,S0126,16,7,44,34,0.025641
S0005,S0127,16,9,44,32,-0.0263158
S0005,S0128,20,7,44,37,0.0740741
S0005,S0129,17,5,44,35,0.0886076
S0005,S0134,24,7,44,47,0.10989
S0005,S0135,24,11,44,36,0.025
S0005,S0136,12,10,44,28,-0.111111
S0005,S0137,20,7,44,38,0.0731707
S0005,S0138,20,10,44,36,0
S0005,S0139,19,11,44,37,-0.037037
S0005,S0141,19,8,44,35,0.0379747
S0005,S0146,26,3,44,45,0.224719
S0005,S0147,17,10,44,32,-0.0394737
S0005,S0148,22,7,44,40,0.0952381
S0005,S0150,15,4,44,31,0.0933333
S0005,S0151,21,1,44,40,0.22619
S0005,S0152,16,6,44,27,0.056338
S0005,S0153,12,4,44,37,0.0493827
S0005,S0157,15,5,44,34,0.0641026
S0005,S0158,22,14,44,35,-0.0759494
S0005,S0159,19,9,44,35,0.0126582
S0005,S0161,18,3,44,35,0.151899
S0005,S0162,18,7,44,34,0.0512821
S0005,S0163,20,8,44,38,0.0487805
S0005,S0164,24,9,44,40,0.0714286
S0005,S0165,23,8,44,39,0.0843373
S0005,S0169,20,8,44,35,0.0506329
S0005,S0170,21,11,44,34,-0.0128205
S0005,S0171,30,1,44,59,0.271845
S0005,S0172,23,3,44,45,0.191011
S0005,S0173,19,5,44,43,0.103448
S0005,S0174,22,4,44,43,0.16092
S0005,S0175,19,12,44,26,-0.0714286
S0005,S0176,25,10,44,46,0.0555556
S0005,S0177,17,4,44,33,0.116883
S0005,S0181,14,6,44,32,0.0263158
S0005,S0182,18,7,44,41,0.0470588
S0005,S0183,25,7,44,46,0.122222
S0005,S0184,21,6,44,44,0.102273
S0005,S0185,15,18,44,25,-0.304348
S0005,S0186,22,6,44,37,0.123457
S0005,S0187,19,5,44,31,0.12
S0005,S0188,22,15,44,30,-0.108108
S0005,S0189,21,13,44,40,-0.0595238
S0006,S0001,21,2,43,34,0.220779
S0006,S0002,38,0,43,70,0.336283
S0006,S0004,18,3,43,31,0.162162
S0006,S0005,25,7,43,44,0.126437
S0006,S0006,43,0,43,43,0.5
S0006,S0007,16,3,43,30,0.136986
S0006,S0008,25,3,43,38,0.234568
S0006,S0009,18,4,43,28,0.140845
S0006,S0015,36,0,43,56,0.363636
S0006,S0016,21,4,43,40,0.156627
S0006,S0017,20,1,43,40,0.216867
S0006,S0018,34,0,43,57,0.34
S0006,S0019,22,6,43,38,0.123457
S0006,S0020,22,6,43,38,0.123457
S0006,S0021,18,4,43,33,0.131579
S0006,S0025,23,5,43,44,0.149425
S0006,S0026,19,3,43,33,0.171053
S0006,S0027,18,3,43,37,0.15
S0006,S0028,25,4,43,40,0.204819
S0006,S0029,13,5,43,32,0.04
S0006,S0030,15,6,43,31,0.0405405
S0006,S0031,16,3,43,34,0.12987
S0006,S0032,28,0,43,43,0.325581
S0006,S0033,19,6,43,38,0.0864198
S0006,S0037,26,3,43,45,0.227273
S0006,S0038,14,4,43,32,0.08
S0006,S0039,15,8,43,34,-0.012987
S0006,S0040,17,4,43,36,0.113924
S0006,S0041,20,4,43,45,0.136364
S0006,S0042,17,3,43,40,0.13253
S0006,S0043,26,3,43,51,0.212766
S0006,S0044,17,2,43,33,0.171053
S0006,S0045,19,9,43,38,0.0123457
S0006,S0051,15,5,43,24,0.0746269
S0006,S0052,16,6,43,36,0.0506329
S0006,S0053,14,3,43,27,0.114286
S0006,S0054,24,1,43,50,0.236559
S0006,S0055,20,4,43,35,0.153846
S0006,S0056,18,1,43,28,0.225352
S0006,S0057,16,5,43,33,0.0789474
S0006,S0062,24,7,43,38,0.123457
S0006,S0063,18,1,43,38,0.197531
S0006,S0065,25,5,43,36,0.189873
S0006,S0066,22,2,43,44,0.206897
S0006,S0068,32,1,43,44,0.344828
S0006,S0069,16,2,43,36,0.151899
S0006,S0073,27,8,43,38,0.135802
S0006,S0074,15,9,43,29,-0.0416667
S0006,S0075,21,2,43,40,0.204819
S0006,S0076,14,6,43,31,0.027027
S0006,S0077,12,6,43,26,0
S0006,S0078,25,7,43,45,0.125
S0006,S0079,17,2,43,38,0.160494
S0006,S0080,19,1,43,41,0.202381
S0006,S0081,24,4,43,45,0.181818
S0006,S0085,16,5,43,32,0.08
S0006,S0087,21,3,43,35,0.192308
S0006,S0088,13,3,43,29,0.0972222
S0006,S0089,23,0,43,48,0.252747
S0006,S0090,18,8,43,35,0.025641
S0006,S0091,19,4,43,39,0.134146
S0006,S0092,19,1,43,35,0.217949
S0006,S0093,28,5,43,40,0.216867
S0006,S0099,18,5,43,35,0.102564
S0006,S0101,24,4,43,39,0.195122
S0006,S0102,25,6,43,37,0.1625
S0006,S0103,19,4,43,38,0.135802
S0006,S0104,17,4,43,35,0.115385
S0006,S0105,26,10,43,45,0.0681818
S0006,S0110,30,0,43,49,0.326087
S0006,S0111,22,6,43,42,0.117647
S0006,S0112,26,0,43,49,0.282609
S0006,S0113,18,8,43,32,0.0266667
S0006,S0114,19,4,43,40,0.13253
S0006,S0116,16,7,43,28,0.028169
S0006,S0117,15,5,43,29,0.0694444
S0006,S0121,41,0,43,68,0.369369
S0006,S0123,24,5,43,43,0.162791
S0006,S0124,22,4,43,47,0.155556
S0006,S0125,9,7,43,25,-0.0735294
S0006,S0126,20,3,43,34,0.181818
S0006,S0127,16,5,43,32,0.08
S0006,S0128,20,5,43,37,0.125
S0006,S0129,19,4,43,35,0.141026
S0006,S0134,33,0,43,47,0.366667
S0006,S0135,21,7,43,36,0.0886076
S0006,S0136,11,3,43,28,0.0704225
S0006,S0137,23,7,43,38,0.111111
S0006,S0138,20,4,43,36,0.151899
S0006,S0139,23,11,43,37,0.0125
S0006,S0141,15,4,43,35,0.0897436
S0006,S0146,25,1,43,45,0.261364
S0006,S0147,20,7,43,32,0.08
S0006,S0148,26,2,43,40,0.26506
S0006,S0150,22,8,43,31,0.0810811
S0006,S0151,25,3,43,40,0.228916
S0006,S0152,19,7,43,27,0.0714286
S0006,S0153,19,5,43,37,0.1125
S0006,S0157,18,3,43,34,0.155844
S0006,S0158,21,6,43,35,0.115385
S0006,S0159,21,5,43,35,0.141026
S0006,S0161,16,6,43,35,0.0512821
S0006,S0162,17,6,43,34,0.0649351
S0006,S0163,24,6,43,38,0.148148
S0006,S0164,25,4,43,40,0.204819
S0006,S0165,27,0,43,39,0.329268
S0006,S0169,16,5,43,35,0.0769231
S0006,S0170,24,6,43,34,0.155844
S0006,S0171,29,1,43,59,0.264706
S0006,S0172,28,0,43,45,0.318182
S0006,S0173,25,4,43,43,0.197674
S0006,S0174,24,3,43,43,0.209302
S0006,S0175,14,5,43,26,0.057971
S0006,S0176,22,2,43,46,0.202247
S0006,S0177,16,9,43,33,-0.0263158
S0006,S0181,16,5,43,32,0.08
S0006,S0182,23,6,43,41,0.130952
S0006,S0183,25,10,43,46,0.0561798
S0006,S0184,23,3,43,44,0.195402
S0006,S0185,15,3,43,25,0.132353
S0006,S0186,17,2,43,37,0.1625
S0006,S0187,16,2,43,31,0.162162
S0006,S0188,14,3,43,30,0.109589
S0006,S0189,21,5,43,40,0.13253
S0007,S0001,11,5,30,34,0.015625
S0007,S0002,22,2,30,70,0.18
S0007,S0004,12,13,30,31,-0.229508
S0007,S0005,17,6,30,44,0.0675676
S0007,S0006,16,3,30,43,0.136986
S0007,S0007,30,0,30,30,0.5
S0007,S0008,13,7,30,38,-0.0147059
S0007,S0009,12,14,30,28,-0.275862
S0007,S0015,22,3,30,56,0.186047
S0007,S0016,10,9,30,40,-0.114286
S0007,S0017,18,13,30,40,-0.114286
S0007,S0018,19,4,30,57,0.126437
S0007,S0019,16,12,30,38,-0.117647
S0007,S0020,15,13,30,38,-0.161765
S0007,S0021,14,15,30,33,-0.253968
S0007,S0025,16,7,30,44,0.027027
S0007,S0026,11,7,30,33,-0.047619
S0007,S0027,13,16,30,37,-0.283582
S0007,S0028,18,14,30,40,-0.142857
S0007,S0029,14,12,30,32,-0.16129
S0007,S0030,11,5,30,31,0.0163934
S0007,S0031,11,8,30,34,-0.078125
S0007,S0032,13,9,30,43,-0.0684932
S0007,S0033,16,9,30,38,-0.0294118
